gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
GYS1	ENSG15744253570	type_2_diabetes	0.8	25
GYS2	ENSG89923139216	obesity	0.72	145
HADHA	ENSG36249924636	mash	0.69	151
HADHA	ENSG36249924636	type_2_diabetes	0.3	117
HADHA	ENSG36249924636	obesity	0.78	143
HADHB	ENSG98429385223	nafld	0.4	59
HK1	ENSG82857511183	type_2_diabetes	0.81	98
HK1	ENSG82857511183	obesity	0.47	43
HK1	ENSG82857511183	mash	0.36	68
HK2	ENSG95295873790	type_2_diabetes	0.83	65
HK3	ENSG21674294470	nafld	0.64	87
HK3	ENSG21674294470	type_2_diabetes	0.42	186
HKDC1	ENSG59071173850	type_2_diabetes	0.63	70
HKDC1	ENSG59071173850	mash	0.31	154
HMGB1	ENSG62009337359	mash	0.67	128
HMGB1	ENSG62009337359	type_2_diabetes	0.63	158
HMGB1	ENSG62009337359	nafld	0.47	143
HMGCL	ENSG01276002456	mash	0.66	119
HMGCS1	ENSG93253734502	obesity	0.83	178
HMGCS1	ENSG93253734502	type_2_diabetes	0.47	197
HMGCS1	ENSG93253734502	nafld	0.31	80
HMGCS2	ENSG40576656622	type_2_diabetes	0.56	99
HMOX1	ENSG04974247420	nafld	0.83	157
HMOX1	ENSG04974247420	obesity	0.59	168
HNF4A	ENSG18901562455	type_2_diabetes	0.37	43
HNF4A	ENSG18901562455	obesity	0.43	77
HNF6	ENSG47608177477	mash	0.52	84
HNF6	ENSG47608177477	obesity	0.31	159
HNF6	ENSG47608177477	type_2_diabetes	0.35	106
HSP90AA1	ENSG97154447547	obesity	0.66	193
HSP90AB1	ENSG65804528862	obesity	0.63	37
HSPA1A	ENSG86744746273	nafld	0.46	105
HSPA1B	ENSG55648099148	mash	0.83	118
HSPA5	ENSG85930314561	obesity	0.63	56
HSPA5	ENSG85930314561	mash	0.45	180
HSPA5	ENSG85930314561	nafld	0.41	22
HSPA8	ENSG05401631014	type_2_diabetes	0.3	82
HSPA9	ENSG59148906265	type_2_diabetes	0.39	33
HSPB1	ENSG19033619275	type_2_diabetes	0.63	133
HSPB1	ENSG19033619275	nafld	0.49	101
IDI1	ENSG42392085079	mash	0.69	174
IDI2	ENSG86197066894	nafld	0.42	67
IDI2	ENSG86197066894	obesity	0.39	49
IDOL	ENSG39332009201	nafld	0.44	182
IFNAR1	ENSG26895881289	mash	0.33	46
IFNAR1	ENSG26895881289	type_2_diabetes	0.38	94
IFNAR1	ENSG26895881289	obesity	0.84	107
IFNAR2	ENSG72010493077	type_2_diabetes	0.46	141
IFNAR2	ENSG72010493077	nafld	0.85	196
IFNG	ENSG53069479370	nafld	0.31	133
IFNG	ENSG53069479370	obesity	0.81	194
IFNG	ENSG53069479370	mash	0.32	151
IFNGR1	ENSG88365552689	mash	0.72	96
IFNGR1	ENSG88365552689	obesity	0.44	130
IFNGR2	ENSG71834342364	type_2_diabetes	0.38	41
IFNGR2	ENSG71834342364	nafld	0.73	98
IGF1	ENSG75041916805	mash	0.51	23
IGF1	ENSG75041916805	type_2_diabetes	0.65	112
IGF1	ENSG75041916805	obesity	0.59	108
IGF1R	ENSG80760037599	obesity	0.49	100
IGF1R	ENSG80760037599	mash	0.44	155
IGF1R	ENSG80760037599	nafld	0.57	89
IGF2	ENSG50771349974	nafld	0.48	23
IGF2	ENSG50771349974	type_2_diabetes	0.36	125
IGF2	ENSG50771349974	obesity	0.32	142
IGF2R	ENSG48354779087	nafld	0.81	53
IGFBP1	ENSG58905875698	type_2_diabetes	0.84	38
IGFBP1	ENSG58905875698	nafld	0.52	30
IGFBP1	ENSG58905875698	mash	0.7	125
IGFBP2	ENSG58627103760	type_2_diabetes	0.42	22
IGFBP3	ENSG88272003867	type_2_diabetes	0.55	136
IGFBP3	ENSG88272003867	mash	0.72	33
IGFBP3	ENSG88272003867	obesity	0.49	164
IGFBP5	ENSG17711468839	mash	0.76	126
IGFBP5	ENSG17711468839	obesity	0.77	83
IGFBP5	ENSG17711468839	type_2_diabetes	0.35	98
IGFBP7	ENSG40687550989	mash	0.47	174
IL10	ENSG46784621653	nafld	0.61	148
IL10R	ENSG10989224051	mash	0.45	186
IL13	ENSG70959937159	mash	0.32	121
IL13RA1	ENSG99867903267	mash	0.35	52
IL13RA1	ENSG99867903267	nafld	0.68	178
IL13RA1	ENSG99867903267	obesity	0.6	152
IL17A	ENSG48572970979	nafld	0.82	124
IL17A	ENSG48572970979	obesity	0.63	114
IL17F	ENSG50903705914	mash	0.47	79
IL17F	ENSG50903705914	nafld	0.43	47
IL17F	ENSG50903705914	type_2_diabetes	0.51	175
IL17R	ENSG61451588804	mash	0.54	41
IL17R	ENSG61451588804	type_2_diabetes	0.72	60
IL18	ENSG42901801392	type_2_diabetes	0.33	194
IL18R1	ENSG41001875439	nafld	0.72	67
IL1A	ENSG54261778212	mash	0.62	59
IL1RN	ENSG67774131838	mash	0.4	130
IL1RN	ENSG67774131838	type_2_diabetes	0.59	86
IL33	ENSG78908529407	nafld	0.33	105
IL33R	ENSG11699697105	obesity	0.69	37
IL33R	ENSG11699697105	mash	0.73	70
IL33R	ENSG11699697105	type_2_diabetes	0.48	148
IL4	ENSG54421445435	type_2_diabetes	0.53	82
IL4	ENSG54421445435	mash	0.35	91
IL4R	ENSG21952980146	nafld	0.48	29
IL4R	ENSG21952980146	obesity	0.43	140
IRAK1	ENSG32836836967	mash	0.34	106
IRAK1	ENSG32836836967	nafld	0.45	28
IRAK1	ENSG32836836967	type_2_diabetes	0.46	38
IRAK4	ENSG62954174620	obesity	0.55	48
IRE1	ENSG76503608404	nafld	0.7	113
JAK1	ENSG48652291365	type_2_diabetes	0.32	129
JAK2	ENSG29155660543	nafld	0.62	84
JAK2	ENSG29155660543	obesity	0.62	48
JAK3	ENSG96826711231	type_2_diabetes	0.41	134
JNK1	ENSG50590258159	nafld	0.82	161
JNK1	ENSG50590258159	type_2_diabetes	0.76	145
JNK1	ENSG50590258159	mash	0.73	62
JNK2	ENSG58002454876	type_2_diabetes	0.49	164
JNK2	ENSG58002454876	mash	0.36	123
JNK2	ENSG58002454876	obesity	0.67	63
JNK3	ENSG93510380255	obesity	0.58	168
KCNQ1	ENSG93714418052	obesity	0.56	32
KCNQ1	ENSG93714418052	mash	0.78	99
KCNQ2	ENSG43163884961	mash	0.73	148
KCNQ2	ENSG43163884961	nafld	0.45	171
KCNQ2	ENSG43163884961	type_2_diabetes	0.38	118
KCNQ3	ENSG61051849591	nafld	0.57	93
KCNQ3	ENSG61051849591	mash	0.47	119
KCNQ5	ENSG37401221834	type_2_diabetes	0.42	197
KCNQ5	ENSG37401221834	obesity	0.82	132
KCNQ5	ENSG37401221834	nafld	0.6	42
KEAP1	ENSG21427777123	type_2_diabetes	0.37	43
KEAP1	ENSG21427777123	nafld	0.59	104
KEAP1	ENSG21427777123	obesity	0.84	137
KLF11	ENSG62347073874	nafld	0.33	47
KLF13	ENSG85607287430	type_2_diabetes	0.44	53
KLF13	ENSG85607287430	nafld	0.75	113
KLF15	ENSG90882023558	mash	0.59	81
KLF15	ENSG90882023558	obesity	0.63	174
KLF15	ENSG90882023558	nafld	0.48	23
KLF6	ENSG24637927620	obesity	0.32	57
KRT18	ENSG42605119096	nafld	0.57	26
KRT18	ENSG42605119096	obesity	0.66	156
KRT18	ENSG42605119096	mash	0.71	33
KRT19	ENSG17128373554	type_2_diabetes	0.34	152
KRT19	ENSG17128373554	nafld	0.73	91
KRT8	ENSG85237317595	type_2_diabetes	0.81	80
LBP	ENSG74362812156	type_2_diabetes	0.49	59
LBP	ENSG74362812156	mash	0.38	154
LBP	ENSG74362812156	obesity	0.59	99
LCAT	ENSG23019825758	nafld	0.59	153
LCAT	ENSG23019825758	obesity	0.73	193
LDHA	ENSG42362909629	type_2_diabetes	0.57	46
LDHA	ENSG42362909629	obesity	0.79	79
LDHA	ENSG42362909629	mash	0.63	108
LDHB	ENSG05331423124	type_2_diabetes	0.65	61
LDHB	ENSG05331423124	mash	0.41	36
LDHC	ENSG32708352590	obesity	0.38	188
LDHC	ENSG32708352590	nafld	0.36	157
LDLR	ENSG79517312717	obesity	0.61	38
LDLRAP1	ENSG10382165729	mash	0.71	60
LDLRAP1	ENSG10382165729	obesity	0.48	186
LPA	ENSG10893479119	type_2_diabetes	0.33	112
LPA	ENSG10893479119	mash	0.6	74
LPA	ENSG10893479119	nafld	0.38	87
LPIN1	ENSG47934841554	obesity	0.46	27
LPIN1	ENSG47934841554	type_2_diabetes	0.47	108
LPIN1	ENSG47934841554	mash	0.76	38
LPIN2	ENSG78882482938	nafld	0.35	113
LPIN2	ENSG78882482938	obesity	0.64	197
LPIN2	ENSG78882482938	type_2_diabetes	0.55	164
LPIN3	ENSG29448019182	obesity	0.44	136
LPIN3	ENSG29448019182	mash	0.67	51
LSS	ENSG48096586347	nafld	0.36	68
LSS	ENSG48096586347	obesity	0.55	99
MAPK1	ENSG00238496915	type_2_diabetes	0.44	193
MAPK1	ENSG00238496915	nafld	0.5	36
MAPK10	ENSG06793767875	nafld	0.83	124
MAPK10	ENSG06793767875	type_2_diabetes	0.41	71
MAPK10	ENSG06793767875	obesity	0.8	71
MAPK14	ENSG08960093500	obesity	0.49	102
MAPK14	ENSG08960093500	mash	0.75	72
MAPK3	ENSG47596401672	obesity	0.35	189
MAPK3	ENSG47596401672	nafld	0.75	184
MAPK3	ENSG47596401672	mash	0.75	70
MAPK8	ENSG43032374438	nafld	0.57	182
MAPK8	ENSG43032374438	mash	0.54	61
MAPK9	ENSG49318748721	obesity	0.67	43
MAPK9	ENSG49318748721	nafld	0.7	196
MFN1	ENSG64306849993	nafld	0.6	71
MFN1	ENSG64306849993	mash	0.82	45
MFN2	ENSG30010070762	mash	0.56	20
MFN2	ENSG30010070762	obesity	0.69	60
MLXIP	ENSG82338577405	obesity	0.67	48
MLXIP	ENSG82338577405	nafld	0.62	170
MLXIPL	ENSG97194577336	obesity	0.35	86
MLXIPL	ENSG97194577336	mash	0.62	84
MOGAT1	ENSG18692617849	obesity	0.71	43
MOGAT1	ENSG18692617849	type_2_diabetes	0.8	72
MOGAT2	ENSG96882606282	nafld	0.74	134
MOGAT2	ENSG96882606282	obesity	0.44	165
MOGAT3	ENSG62615447366	nafld	0.46	140
MR	ENSG36134590273	mash	0.57	148
MR	ENSG36134590273	nafld	0.41	33
MRPL12	ENSG40429021217	mash	0.62	199
MRPL12	ENSG40429021217	type_2_diabetes	0.85	26
MRPS35	ENSG85056872551	type_2_diabetes	0.6	132
MRPS35	ENSG85056872551	mash	0.73	70
MSMO1	ENSG13515909639	mash	0.59	47
MSMO1	ENSG13515909639	obesity	0.31	175
MTERF1	ENSG74187922004	type_2_diabetes	0.3	98
MTERF1	ENSG74187922004	mash	0.42	141
MTERF1	ENSG74187922004	obesity	0.7	31
MTERF2	ENSG50728025578	nafld	0.8	161
MTERF2	ENSG50728025578	obesity	0.79	199
MTERF2	ENSG50728025578	type_2_diabetes	0.49	195
MTERF3	ENSG77955767746	obesity	0.61	119
MTERF3	ENSG77955767746	mash	0.71	59
MVD	ENSG45424904759	nafld	0.43	111
MVD	ENSG45424904759	type_2_diabetes	0.31	50
MVK	ENSG39878673361	type_2_diabetes	0.64	22
MVK	ENSG39878673361	nafld	0.43	158
MVK	ENSG39878673361	mash	0.6	116
MYD88	ENSG15481131443	nafld	0.34	194
MYLIP	ENSG72567883055	type_2_diabetes	0.71	45
NAD	ENSG26180081084	mash	0.34	87
NAD	ENSG26180081084	obesity	0.66	170
NADK	ENSG90491834203	obesity	0.81	45
NADK	ENSG90491834203	type_2_diabetes	0.81	151
NAMPT	ENSG32684234205	nafld	0.39	58
NAMPT	ENSG32684234205	mash	0.44	110
NAMPT	ENSG32684234205	type_2_diabetes	0.51	122
NDUFA1	ENSG37299797621	obesity	0.48	168
NDUFA2	ENSG21604794140	mash	0.77	188
NDUFA2	ENSG21604794140	type_2_diabetes	0.47	116
NDUFA2	ENSG21604794140	nafld	0.84	40
NDUFB10	ENSG24898384053	nafld	0.81	60
NFE2L2	ENSG28505824381	mash	0.47	125
NFKB1	ENSG06414665054	type_2_diabetes	0.59	168
NFKB1	ENSG06414665054	mash	0.48	38
NFKB2	ENSG90265623845	obesity	0.43	171
NLRC4	ENSG04840764809	mash	0.37	33
NLRC4	ENSG04840764809	obesity	0.56	184
NLRP1	ENSG83298707500	type_2_diabetes	0.41	110
NLRP12	ENSG33828826937	obesity	0.59	53
NLRP3	ENSG85096440926	mash	0.68	180
NLRP3	ENSG85096440926	nafld	0.73	169
NLRP6	ENSG93256870948	nafld	0.58	53
NLRP6	ENSG93256870948	obesity	0.66	112
NLRP6	ENSG93256870948	mash	0.74	144
NMNAT1	ENSG44019392029	obesity	0.57	93
NMNAT2	ENSG76958189918	obesity	0.47	92
NMNAT2	ENSG76958189918	type_2_diabetes	0.39	177
NMNAT2	ENSG76958189918	nafld	0.8	118
NMNAT3	ENSG41337679087	nafld	0.45	191
NMNAT3	ENSG41337679087	type_2_diabetes	0.61	104
NMNAT3	ENSG41337679087	obesity	0.69	59
NPC1L1	ENSG52254640469	type_2_diabetes	0.3	188
NPC1L1	ENSG52254640469	mash	0.51	177
NQO1	ENSG73418338950	type_2_diabetes	0.48	62
NQO1	ENSG73418338950	obesity	0.48	83
NR0B1	ENSG49198144156	nafld	0.37	91
NR0B1	ENSG49198144156	type_2_diabetes	0.67	191
NR0B2	ENSG11007161102	type_2_diabetes	0.47	21
NR0B2	ENSG11007161102	nafld	0.43	146
NR0B2	ENSG11007161102	obesity	0.59	133
NR1H4	ENSG81049389750	type_2_diabetes	0.84	112
NR1H4	ENSG81049389750	obesity	0.46	46
NR1H4	ENSG81049389750	mash	0.42	145
NR1H5	ENSG78598591202	mash	0.66	132
NR1H5	ENSG78598591202	obesity	0.34	66
NR1H5	ENSG78598591202	type_2_diabetes	0.5	173
NR1I2	ENSG69999786977	obesity	0.78	140
NR1I2	ENSG69999786977	nafld	0.41	75
NR1I2	ENSG69999786977	type_2_diabetes	0.72	41
NR1I3	ENSG62179889436	obesity	0.64	196
NR1I3	ENSG62179889436	type_2_diabetes	0.71	52
NR1I3	ENSG62179889436	mash	0.34	154
NR2F1	ENSG48244480880	obesity	0.48	140
NR2F1	ENSG48244480880	type_2_diabetes	0.63	160
NR2F1	ENSG48244480880	nafld	0.82	98
NR2F2	ENSG34720994136	nafld	0.79	177
NR2F2	ENSG34720994136	obesity	0.56	95
NR2F2	ENSG34720994136	mash	0.7	110
NR2F6	ENSG11640526399	type_2_diabetes	0.32	69
NR3C1	ENSG86260795838	type_2_diabetes	0.83	54
NR3C1	ENSG86260795838	mash	0.78	139
NR3C2	ENSG50636582156	nafld	0.39	161
NR3C2	ENSG50636582156	type_2_diabetes	0.61	106
NR3C2	ENSG50636582156	mash	0.79	37
NR4A1	ENSG87165468313	obesity	0.66	139
NR4A2	ENSG17842749112	obesity	0.54	105
NR4A3	ENSG26712166932	obesity	0.8	160
NR5A1	ENSG81844985475	obesity	0.66	99
NR5A2	ENSG49105809198	obesity	0.77	96
NR5A2	ENSG49105809198	type_2_diabetes	0.77	179
NR5A2	ENSG49105809198	mash	0.56	101
NRF2	ENSG62053826844	mash	0.61	39
NRK1	ENSG75685521601	obesity	0.76	105
NRK2	ENSG77872002697	type_2_diabetes	0.69	151
NRK2	ENSG77872002697	obesity	0.38	33
NRK2	ENSG77872002697	nafld	0.81	173
NSDHL	ENSG26791775017	mash	0.85	96
NSDHL	ENSG26791775017	nafld	0.55	68
NSDHL	ENSG26791775017	type_2_diabetes	0.63	69
ONECUT1	ENSG10112545867	type_2_diabetes	0.37	164
ONECUT1	ENSG10112545867	mash	0.83	136
ONECUT1	ENSG10112545867	obesity	0.72	65
ONECUT2	ENSG13746182627	mash	0.84	200
ONECUT2	ENSG13746182627	type_2_diabetes	0.61	89
ONECUT3	ENSG33198165564	nafld	0.83	146
ONECUT3	ENSG33198165564	mash	0.5	76
ONECUT3	ENSG33198165564	obesity	0.39	134
OPA1	ENSG05184771900	obesity	0.84	89
P38	ENSG04411173743	obesity	0.6	143
P38	ENSG04411173743	nafld	0.82	162
P38	ENSG04411173743	type_2_diabetes	0.56	140
PARP1	ENSG74995562812	obesity	0.67	124
PARP1	ENSG74995562812	mash	0.75	146
PARP2	ENSG66196408476	nafld	0.55	198
PARP2	ENSG66196408476	obesity	0.73	163
PARP2	ENSG66196408476	mash	0.35	33
PCK1	ENSG27284491914	nafld	0.71	75
PCK1	ENSG27284491914	mash	0.61	81
PCK1	ENSG27284491914	obesity	0.62	125
PCK2	ENSG73012239875	type_2_diabetes	0.53	184
PCK2	ENSG73012239875	mash	0.68	60
PCSK9	ENSG79203510269	mash	0.31	64
PCX	ENSG71672257612	mash	0.48	195
PDHA1	ENSG43510353689	nafld	0.38	91
PDHA2	ENSG48838415415	type_2_diabetes	0.65	80
PDHB	ENSG53767201698	type_2_diabetes	0.58	63
PDIA3	ENSG55440131558	mash	0.32	93
PDIA6	ENSG49013823507	type_2_diabetes	0.75	135
PDIA6	ENSG49013823507	mash	0.85	80
PDK1	ENSG68735062509	type_2_diabetes	0.31	131
PDK1	ENSG68735062509	mash	0.4	131
PDK1	ENSG68735062509	nafld	0.71	168
PDK2	ENSG10893117724	obesity	0.45	60
PDK2	ENSG10893117724	type_2_diabetes	0.46	108
PDK3	ENSG77569898001	type_2_diabetes	0.61	63
PDK3	ENSG77569898001	nafld	0.66	173
PDK4	ENSG25383775039	mash	0.71	62
PDK4	ENSG25383775039	obesity	0.63	39
PEPCK	ENSG14139045529	nafld	0.45	33
PEPCK	ENSG14139045529	obesity	0.42	54
PERK	ENSG42856272897	type_2_diabetes	0.83	125
PERK	ENSG42856272897	mash	0.53	106
PERK	ENSG42856272897	nafld	0.5	70
PEX1	ENSG23095626026	mash	0.73	129
PEX1	ENSG23095626026	type_2_diabetes	0.8	102
PEX10	ENSG06760228601	nafld	0.45	133
PEX10	ENSG06760228601	type_2_diabetes	0.52	142
PEX10	ENSG06760228601	obesity	0.52	181
PEX12	ENSG56666247298	obesity	0.64	25
PEX12	ENSG56666247298	mash	0.77	173
PEX12	ENSG56666247298	nafld	0.52	116
PEX13	ENSG91768697683	mash	0.46	62
PEX3	ENSG33452299407	obesity	0.75	36
PEX3	ENSG33452299407	mash	0.39	55
PEX3	ENSG33452299407	nafld	0.43	170
PEX5	ENSG85589406188	obesity	0.45	95
PEX5	ENSG85589406188	nafld	0.54	192
PEX5	ENSG85589406188	mash	0.36	36
PFKL	ENSG00758767418	type_2_diabetes	0.62	127
PFKL	ENSG00758767418	mash	0.81	91
PFKM	ENSG29305766652	type_2_diabetes	0.61	53
PFKM	ENSG29305766652	obesity	0.76	110
PFKP	ENSG02242133625	mash	0.41	138
PFKP	ENSG02242133625	type_2_diabetes	0.63	130
PGAM1	ENSG07328084038	obesity	0.85	122
PGAM1	ENSG07328084038	type_2_diabetes	0.33	52
PGAM2	ENSG69987357227	nafld	0.46	100
PGAM2	ENSG69987357227	type_2_diabetes	0.82	45
PGAM2	ENSG69987357227	mash	0.5	42
PGD	ENSG13185541886	obesity	0.35	157
PGD	ENSG13185541886	nafld	0.3	107
PGD	ENSG13185541886	mash	0.53	26
PGK1	ENSG09623169755	mash	0.54	115
PGK1	ENSG09623169755	nafld	0.55	59
PGK1	ENSG09623169755	type_2_diabetes	0.35	62
PGK2	ENSG95394263894	nafld	0.53	149
PGR	ENSG04691880411	mash	0.82	126
PIK3CA	ENSG54203644056	type_2_diabetes	0.74	56
PIK3CB	ENSG60392026244	nafld	0.65	49
PIK3CB	ENSG60392026244	type_2_diabetes	0.42	142
PIK3CD	ENSG83051216316	type_2_diabetes	0.54	39
PIK3CD	ENSG83051216316	nafld	0.36	122
PIK3CG	ENSG54046683099	mash	0.52	32
PIK3CG	ENSG54046683099	obesity	0.37	102
PIK3R1	ENSG68342228669	mash	0.57	116
PIK3R2	ENSG76685997775	obesity	0.47	27
PKLR	ENSG25436059187	type_2_diabetes	0.77	193
PKLR	ENSG25436059187	mash	0.56	42
PKLR	ENSG25436059187	obesity	0.65	129
PKM	ENSG20283468002	nafld	0.47	23
PKM	ENSG20283468002	mash	0.73	95
PKM	ENSG20283468002	obesity	0.34	35
PLA2G7	ENSG99414698139	mash	0.54	109
PLA2G7	ENSG99414698139	type_2_diabetes	0.72	113
PLA2G7	ENSG99414698139	nafld	0.84	162
PLIN1	ENSG54771707938	nafld	0.78	145
PLIN3	ENSG63328269203	mash	0.42	195
PLIN4	ENSG27850086901	nafld	0.59	85
PLIN4	ENSG27850086901	type_2_diabetes	0.59	101
PLIN4	ENSG27850086901	obesity	0.69	196
PLIN5	ENSG78455509996	obesity	0.34	94
PLIN5	ENSG78455509996	type_2_diabetes	0.62	61
PLTP	ENSG44044841473	obesity	0.67	149
PLTP	ENSG44044841473	nafld	0.47	159
PMVK	ENSG14416170793	type_2_diabetes	0.84	148
PNPLA1	ENSG44616850122	type_2_diabetes	0.36	70
PNPLA2	ENSG25516960970	type_2_diabetes	0.5	193
PNPLA4	ENSG87038851808	type_2_diabetes	0.45	54
PNPLA5	ENSG48626006250	nafld	0.83	142
PNPLA5	ENSG48626006250	type_2_diabetes	0.68	97
PNPLA6	ENSG02036376455	obesity	0.72	145
PNPLA6	ENSG02036376455	mash	0.68	106
PNPLA7	ENSG43790480960	type_2_diabetes	0.68	64
PNPLA7	ENSG43790480960	mash	0.65	163
PNPLA8	ENSG87106727553	nafld	0.84	148
POLG	ENSG70211280018	mash	0.55	158
POLG	ENSG70211280018	obesity	0.68	129
POLG2	ENSG05323189595	nafld	0.84	20
POLG2	ENSG05323189595	obesity	0.38	66
POLRMT	ENSG07506959852	nafld	0.48	47
POLRMT	ENSG07506959852	mash	0.54	110
POLRMT	ENSG07506959852	type_2_diabetes	0.52	195
PPP1R15A	ENSG48871141315	obesity	0.59	106
PPP1R15B	ENSG34095325837	type_2_diabetes	0.72	87
PPP1R15B	ENSG34095325837	mash	0.78	162
PTEN	ENSG49536332809	nafld	0.49	59
PTEN	ENSG49536332809	mash	0.7	123
PYCARD	ENSG41789828717	type_2_diabetes	0.69	69
PYCARD	ENSG41789828717	nafld	0.38	143
PYCARD	ENSG41789828717	mash	0.52	74
PYGB	ENSG66262317706	mash	0.38	166
PYGL	ENSG87121717341	nafld	0.73	56
PYGL	ENSG87121717341	obesity	0.81	54
PYGM	ENSG37634282192	type_2_diabetes	0.76	163
PYGM	ENSG37634282192	mash	0.77	99
PYGM	ENSG37634282192	nafld	0.8	89
RAGE	ENSG12729508082	nafld	0.32	200
RELA	ENSG44559839917	mash	0.44	198
RELB	ENSG25929089961	nafld	0.59	63
RELB	ENSG25929089961	type_2_diabetes	0.4	115
RELB	ENSG25929089961	mash	0.33	51
RHEB	ENSG78351768832	mash	0.62	71
RPE	ENSG63127085670	nafld	0.77	125
RPIA	ENSG26501966788	obesity	0.82	138
RPIA	ENSG26501966788	mash	0.51	61
RXRA	ENSG55778024049	obesity	0.55	197
RXRB	ENSG27132722183	obesity	0.37	176
RXRB	ENSG27132722183	type_2_diabetes	0.56	47
RXRB	ENSG27132722183	nafld	0.79	104
RXRG	ENSG17404622439	type_2_diabetes	0.52	27
RXRG	ENSG17404622439	mash	0.82	93
RXRG	ENSG17404622439	nafld	0.45	79
SAA2	ENSG71841258562	nafld	0.48	100
SAA2	ENSG71841258562	mash	0.82	82
SAA4	ENSG58692166438	mash	0.85	156
SAA4	ENSG58692166438	nafld	0.69	151
SAA4	ENSG58692166438	obesity	0.42	23
SC5D	ENSG19197082674	obesity	0.83	134
SC5D	ENSG19197082674	type_2_diabetes	0.36	91
SCN5A	ENSG05314453984	nafld	0.42	116
SCN5A	ENSG05314453984	obesity	0.7	179
SCN5A	ENSG05314453984	mash	0.66	179
SDHA	ENSG92288862818	obesity	0.56	178
SDHA	ENSG92288862818	mash	0.69	86
SDHB	ENSG27136401088	mash	0.84	51
SDHB	ENSG27136401088	obesity	0.41	139
SDHB	ENSG27136401088	nafld	0.53	102
SDHC	ENSG97431130309	nafld	0.37	108
SDHC	ENSG97431130309	obesity	0.7	42
SDHC	ENSG97431130309	mash	0.77	162
SDHD	ENSG23368284273	nafld	0.46	125
SERPINA1	ENSG91738726946	nafld	0.81	148
SERPINA1	ENSG91738726946	type_2_diabetes	0.4	30
SERPINA1	ENSG91738726946	obesity	0.46	197
SERPINA6	ENSG16160363761	obesity	0.34	39
SERPINA6	ENSG16160363761	type_2_diabetes	0.64	153
SERPINA6	ENSG16160363761	nafld	0.53	100
SERPINC1	ENSG44291529737	mash	0.31	56
SERPINC1	ENSG44291529737	nafld	0.72	100
SHBG	ENSG11793061570	type_2_diabetes	0.62	70
SHP	ENSG70646266454	type_2_diabetes	0.77	99
SHP	ENSG70646266454	obesity	0.72	121
SHP	ENSG70646266454	nafld	0.53	145
SIRT2	ENSG91708598738	obesity	0.5	96
SIRT2	ENSG91708598738	type_2_diabetes	0.63	186
SIRT2	ENSG91708598738	nafld	0.41	160
SIRT4	ENSG05154580486	type_2_diabetes	0.79	111
SIRT4	ENSG05154580486	nafld	0.41	196
SIRT4	ENSG05154580486	obesity	0.76	91
SIRT5	ENSG59808121156	type_2_diabetes	0.84	200
SIRT6	ENSG05325742076	mash	0.45	196
SIRT6	ENSG05325742076	type_2_diabetes	0.77	114
SIRT7	ENSG73784446058	obesity	0.63	57
SLC10A1	ENSG56481711499	mash	0.58	83
SLC10A1	ENSG56481711499	nafld	0.68	151
SLC10A1	ENSG56481711499	type_2_diabetes	0.43	31
SLC10A2	ENSG09958668730	mash	0.58	166
SLC10A2	ENSG09958668730	type_2_diabetes	0.41	168
SLC16A1	ENSG69919692399	mash	0.33	75
SLC16A3	ENSG79372303143	mash	0.38	84
SLC16A3	ENSG79372303143	obesity	0.52	84
SLC25A1	ENSG81071126719	type_2_diabetes	0.3	165
SLC25A1	ENSG81071126719	obesity	0.62	197
SLC25A10	ENSG31510541633	mash	0.44	37
SLC25A10	ENSG31510541633	nafld	0.42	80
SLC25A11	ENSG78865190250	mash	0.36	35
SLC25A20	ENSG04772826775	mash	0.46	69
SLC25A20	ENSG04772826775	obesity	0.61	106
SLC25A5	ENSG18763232026	nafld	0.76	93
SLC25A5	ENSG18763232026	obesity	0.74	115
SLC25A6	ENSG69357258418	obesity	0.59	125
SLC27A1	ENSG09735817856	nafld	0.49	43
SLC27A1	ENSG09735817856	type_2_diabetes	0.71	122
SLC27A1	ENSG09735817856	obesity	0.48	190
SLC27A2	ENSG20114286352	nafld	0.71	106
SLC27A2	ENSG20114286352	type_2_diabetes	0.68	168
SLC27A2	ENSG20114286352	mash	0.68	93
SLC27A4	ENSG52661047063	nafld	0.45	54
SLC27A4	ENSG52661047063	mash	0.53	139
SLC27A5	ENSG69796172774	mash	0.5	53
SLC27A6	ENSG40270145672	mash	0.53	89
SLC2A1	ENSG98928184824	nafld	0.56	77
SLC2A1	ENSG98928184824	type_2_diabetes	0.47	96
SLC2A10	ENSG32316384429	nafld	0.66	171
SLC2A10	ENSG32316384429	obesity	0.65	177
SLC2A12	ENSG37216064142	type_2_diabetes	0.77	135
SLC2A12	ENSG37216064142	mash	0.31	49
SLC2A12	ENSG37216064142	nafld	0.32	30
SLC2A13	ENSG50060842288	mash	0.35	129
SLC2A13	ENSG50060842288	type_2_diabetes	0.7	132
SLC2A13	ENSG50060842288	nafld	0.82	183
SLC2A3	ENSG82432486670	mash	0.56	181
SLC2A5	ENSG98878111028	obesity	0.4	162
SLC2A8	ENSG46918294249	obesity	0.38	169
SLC2A8	ENSG46918294249	nafld	0.61	56
SLC2A9	ENSG32166286865	obesity	0.32	154
SOCS1	ENSG05179716421	type_2_diabetes	0.3	187
SOCS1	ENSG05179716421	obesity	0.66	83
